project_id,workspace_id,team_id,name,description,created_at
6b112919-b988-4b2c-89b0-42b9eb6d334f,workspace-001,79056741-2274-4e8b-bbb2-ab335b274f54,SEO Optimization Initiative,SEO Optimization Initiative planned for the current quarter.,2026-01-06 12:37:48
6ea558ac-6fa0-4a85-a8d3-f7ee2b584e4c,workspace-001,281dccb8-374d-4847-a691-845b99162d5a,Customer Support Workflow Cleanup,Customer Support Workflow Cleanup planned for the current quarter.,2026-01-06 12:37:48
235f72fc-ef68-4eaa-bf0f-c2b83c69f81c,workspace-001,791f1a5a-d86a-4ed7-b749-83f7f798b0dd,SEO Optimization Initiative,SEO Optimization Initiative planned for the current quarter.,2026-01-06 12:37:48
69f78c4f-6f89-406f-9ca6-5f302fc21070,workspace-001,4d9db240-6c7f-4c06-8e42-b5363e900e20,Customer Onboarding Revamp,Customer Onboarding Revamp planned for the current quarter.,2026-01-06 12:37:48
ad850f09-32e1-490a-810a-c1bc7b548be4,workspace-001,06993362-331a-47f9-8eaa-871034bc90df,Payments Infrastructure Upgrade,Payments Infrastructure Upgrade planned for the current quarter.,2026-01-06 12:37:48
f814e88a-7be9-40ef-9745-81422aaec1c6,workspace-001,4a83342b-16e2-4567-b1ce-dd074df4d244,SEO Optimization Initiative,SEO Optimization Initiative planned for the current quarter.,2026-01-06 12:37:48
4895ba9c-b7cc-467e-91dd-1a5f77f39641,workspace-001,1e0fb4af-5a8d-4d58-bc9e-e606059cb169,Mobile App Stability Sprint,Mobile App Stability Sprint planned for the current quarter.,2026-01-06 12:37:48
206b1051-92be-47b5-aeb1-086fda7c9ab5,workspace-001,53dee95b-4b0e-4106-b351-53a0207ce458,API v2 Migration,API v2 Migration planned for the current quarter.,2026-01-06 12:37:48
1d9c33a8-8270-400a-b806-d5c4ccb99bf7,workspace-001,b179d232-785c-481b-8603-489b3cab9fcc,Internal Tooling Improvements,Internal Tooling Improvements planned for the current quarter.,2026-01-06 12:37:48
10e39994-5f87-474b-a3c5-f7a5b45c635c,workspace-001,4d9db240-6c7f-4c06-8e42-b5363e900e20,Email Marketing Experiments,Email Marketing Experiments planned for the current quarter.,2026-01-06 12:37:48
8ce0e34d-7d98-4ef4-9319-9d33668965f8,workspace-001,4d9db240-6c7f-4c06-8e42-b5363e900e20,Internal Tooling Improvements,Internal Tooling Improvements planned for the current quarter.,2026-01-06 12:37:48
2a7e7556-faac-4067-9ab6-c8e4c76f4d51,workspace-001,7e21ceb7-ae95-4d30-ba6c-bb6d990be5c5,Payments Infrastructure Upgrade,Payments Infrastructure Upgrade planned for the current quarter.,2026-01-06 12:37:48
10c4527f-758d-414c-80ca-35f6a1f184a2,workspace-001,09002199-f21c-45ab-8532-6fe8e4c5d352,Internal Tooling Improvements,Internal Tooling Improvements planned for the current quarter.,2026-01-06 12:37:48
3da44567-a3ee-42e9-b3e4-5bbb74db0197,workspace-001,06993362-331a-47f9-8eaa-871034bc90df,Compliance Readiness Project,Compliance Readiness Project planned for the current quarter.,2026-01-06 12:37:48
ab51b4e2-eff3-4b83-83db-ac21863c85b5,workspace-001,6fbccd39-108d-4b25-8635-3d953687ff71,Compliance Readiness Project,Compliance Readiness Project planned for the current quarter.,2026-01-06 12:37:48
782dac4c-1a15-42b3-a4d2-a538869a8484,workspace-001,281dccb8-374d-4847-a691-845b99162d5a,API v2 Migration,API v2 Migration planned for the current quarter.,2026-01-06 12:37:48
99b9a85d-49a8-4ea5-8630-3927920f6cb5,workspace-001,0fe72436-5906-4b60-88a0-a5a26e47bacb,Customer Support Workflow Cleanup,Customer Support Workflow Cleanup planned for the current quarter.,2026-01-06 12:37:48
a80486ae-2ee8-4981-b549-c373f0fb0d05,workspace-001,71c7862c-2c03-4993-b5c9-2575bea14b79,Email Marketing Experiments,Email Marketing Experiments planned for the current quarter.,2026-01-06 12:37:48
8bccd14c-8e44-43f9-bab8-5e020c9d14b5,workspace-001,53dee95b-4b0e-4106-b351-53a0207ce458,Mobile App Stability Sprint,Mobile App Stability Sprint planned for the current quarter.,2026-01-06 12:37:48
25892456-ab44-44ee-a03d-5767e4310f36,workspace-001,928c40ff-f5e8-4c77-a6b1-629382744e66,Search Performance Improvements,Search Performance Improvements planned for the current quarter.,2026-01-06 12:37:48
c19a9e37-222d-489b-b311-55d5a5319b8f,workspace-001,09002199-f21c-45ab-8532-6fe8e4c5d352,Compliance Readiness Project,Compliance Readiness Project planned for the current quarter.,2026-01-06 12:37:48
d13687ff-c2a1-4acf-a7d5-b40974ff5c3f,workspace-001,b179d232-785c-481b-8603-489b3cab9fcc,Compliance Readiness Project,Compliance Readiness Project planned for the current quarter.,2026-01-06 12:37:48
92cde1eb-2734-4667-a001-c2eadf67e8b2,workspace-001,b6a35ab4-7829-46d5-be63-1dc10d0ab9a2,Payments Infrastructure Upgrade,Payments Infrastructure Upgrade planned for the current quarter.,2026-01-06 12:37:48
05a5d134-2d0f-4662-a5e1-87a50af09648,workspace-001,4a83342b-16e2-4567-b1ce-dd074df4d244,Mobile App Stability Sprint,Mobile App Stability Sprint planned for the current quarter.,2026-01-06 12:37:48
1c588ef4-7538-4872-bb1b-872ad1ffa527,workspace-001,53dee95b-4b0e-4106-b351-53a0207ce458,Compliance Readiness Project,Compliance Readiness Project planned for the current quarter.,2026-01-06 12:37:48
2d61dda9-f06f-4238-a8fe-d3ea17994037,workspace-001,5ad6dabe-8200-47a5-91a9-bd6a5f034740,Compliance Readiness Project,Compliance Readiness Project planned for the current quarter.,2026-01-06 12:37:48
9395ccb1-f679-4919-a1a1-1e6ef289c1dc,workspace-001,7e21ceb7-ae95-4d30-ba6c-bb6d990be5c5,Auth Platform Refactor,Auth Platform Refactor planned for the current quarter.,2026-01-06 12:37:48
fe9ebde3-f8cb-4b4c-9bb2-6eaafd3eb9b1,workspace-001,1e0fb4af-5a8d-4d58-bc9e-e606059cb169,SEO Optimization Initiative,SEO Optimization Initiative planned for the current quarter.,2026-01-06 12:37:48
89124982-1a43-4132-a2b4-e0de7f504509,workspace-001,71c7862c-2c03-4993-b5c9-2575bea14b79,Customer Support Workflow Cleanup,Customer Support Workflow Cleanup planned for the current quarter.,2026-01-06 12:37:48
284821f8-bf3d-436c-80c7-e1988ffd6e38,workspace-001,5ad6dabe-8200-47a5-91a9-bd6a5f034740,Email Marketing Experiments,Email Marketing Experiments planned for the current quarter.,2026-01-06 12:37:48
